code,date,prev,after,段_前,段_后,勾选,方向,翻面
002141,2019-01-30,1191.9,879.5999999999999,962.97万元至1420.83万元,650.67 万元—1108.53 万元,同向下降,坏→更坏,0.0
002141,2020-01-31,-2851.5,632.5,"-3,098 万元至-2,605 万元",512.00 万元 至 753.00 万元,同向下降,好→更好,1.0
002141,2021-01-30,-42500.0,100000.0,"-46,000 万元至-39,000 万元","90,000 万元至110,000 万元",,好→更好,1.0
002143,2019-01-31,-100000.0,-267000.0,"-120,000 万元至-80,000 万元","320,000 万元—214,000 万元",亏损,坏→更坏,0.0
002146,2017-01-20,349558.08,409826.71499999997,"313,396.90 万元至385,719.26 万元","385,719.26 万元–433,934.17 万元",,好→更好,0.0
002146,2022-04-19,,,,,,,
002147,2017-01-24,146000.0,,"140,000 万元至152,000 万元",,扭亏为盈,,
002147,2017-01-25,,,,,扭亏为盈,,
002147,2019-01-30,15800.0,-20500.0,"13,800.00 万元至17,800.00 万元","18,000.00 万元–23,000.00 万元",,坏→更坏,1.0
002150,2017-01-26,,10280.0,,"9,285.00 万元–11,275.00 万元",扭亏为盈,,
002151,2017-01-12,7850.0,5070.0,"6,600 万元至9,100 万元",4060 万元–6080 万元,同向下降,坏→更坏,0.0
002153,2021-04-23,3128.1499999999996,,"2,576.12 万元–3,680.18 万元",,同向上升,,
002154,2018-11-20,8686.150000000001,5833.98,"8,037.93 万元至9,334.37 万元","5,185.76 万元–6,482.20 万元",,坏→更坏,0.0
002156,2018-01-31,18081.46,14465.169999999998,"14,465.17 万元至21,697.75 万元","10,848.88 万元–18,081.46 万元",同向上升,坏→更坏,0.0
002156,2019-01-31,17708.765,14044.880000000001,"14,655.53 万元至20,762.00 万元","12,212.94 万元–15,876.82 万元",扭亏为盈,坏→更坏,0.0
002159,2017-01-26,,-5000.0,,"-5,500 万元至 -4,500 万元",,,
002160,2018-12-29,10750.0,-41500.0,"7500 万元至 14,000 万","-45,000 万元~-38,000 万元",亏损,坏→更坏,1.0
002160,2021-04-15,,,,,,,
002161,2018-01-31,4631.200000000001,-402.71500000000003,"4,027.13 万元～5,235.27 万元","-402.71 万元～1,208.14 万元",同向下降,坏→更坏,1.0
002161,2019-01-31,,,,,同向上升,,
002161,2024-03-30,,,,,,,
002163,2017-01-25,,1000.0,,"0 万元–2,000 万元",亏损,,
002163,2018-01-31,,-1500.0,,"3,000 万元–0 万元",扭亏为盈,,
002163,2019-01-26,,2500.0,,"1,000 万元–4,000 万元",亏损,,
002166,2017-01-07,6400.43,7529.92,"5,270.94 万元—7,529.92 万元","6,400.43 万元—8,659.41 万元",同向下降,好→更好,0.0
002166,2018-01-30,10797.825,14280.994999999999,"9,056.24 万元—12,539.41 万元","12,539.41 万元—16,022.58 万元",扭亏为盈,好→更好,0.0
002167,2019-01-31,,750.0,,500 万元–1000 万元,亏损,,
002168,2018-01-27,350.0,-11500.0,200 万元至500 万元,"11,000 万元至12,000 万元",亏损,坏→更坏,1.0
002168,2019-01-31,43500.0,35600.0,"41,000 万元至46,000 万元","33,100 万元至38,100 万元",亏损,坏→更坏,0.0
002168,2024-04-03,,,,,,,
002169,2017-01-26,16742.605,12421.93,"15,122.35 万元至18,362.86 万元","10,801.68 万元—14,042.18 万元",,坏→更坏,0.0
002169,2019-01-31,14391.34,9385.66,"12,514.21 万元至16,268.47 万元","7,508.53 万元–11,262.79 万元",同向上升,坏→更坏,0.0
002170,2017-02-03,15881.119999999999,12307.87,"12,704.90万元—19,057.34万元","8,734.62万元—15,881.12万元",同向上升,坏→更坏,0.0
002170,2018-01-31,1790.74,-9813.0,"0万元至3,581.48万元","8,022万元至11,604万元",亏损,坏→更坏,1.0
002172,2018-01-30,24000.0,18250.0,"20,000万元~ 28,000万元","15,500 万元~21,000 万元",同向上升,坏→更坏,0.0
002173,2019-01-31,,4200.0,,"2,800 万元– 5,600 万元",同向上升,,
002173,2025-02-26,-5750.0,81500.0,"6,500 万元–5,000 万元","80,000 万元–83,000 万",,好→更好,1.0
002174,2021-01-30,,72500.0,,"70,000 万元–75,000 万元",同向上升,,
002174,2021-04-30,,18750.0,,"15,000 万元–22,500 万元",,,
002175,2018-01-31,7500.0,2000.0,"6,500 万元至8,500 万元",1500 万元—2500 万元,同向上升,坏→更坏,0.0
002175,2019-01-31,-32000.0,-45000.0,"-38,000 万元至-26,000 万元","41,000 万元-49,000 万元",亏损,坏→更坏,0.0
002176,2019-01-31,,-157000.0,,"150,000 万元—164,000 万元",亏损,,
002177,2023-04-27,5600.0,3600.0,"4,500.00 万元–6,700.00 万元","2,900万元至4,300万",,坏→更坏,0.0
002178,2017-01-26,7666.789999999999,4088.955,"5,111.19 万元至10,222.39 万","1,533.36 万元至6,644.55 万元",同向下降,坏→更坏,0.0
002178,2019-01-30,1333.0,-21000.0,"1,066 万元至1,600 万元","17,000 万元–25,000 万元",亏损,坏→更坏,1.0
002180,2018-01-31,-35700.0,75000.0,"-55,700 万元至 -15,700 万元","62,000 万元 — 88,000 万元",扭亏为盈,好→更好,1.0
002181,2017-01-17,-19500.0,10900.0,"-39,000万元至0万元","0万元–21,800万元",亏损,好→更好,1.0
002181,2019-01-31,1850.0,6200.0,"0万元至3,700万元","4,400 万元—8,000 万元",同向下降,好→更好,0.0
002181,2024-04-09,1850.0,,1500万元-2200万元,,,,
002182,2020-01-20,,,,,扭亏为盈,,
002184,2018-01-31,4363.745,1678.365,"4,028.07 万元至4,699.42 万元","1,342.69 万元-2,014.04 万元",扭亏为盈,坏→更坏,0.0
002184,2019-01-31,-6500.0,-14000.0,"-8,000 万元至-5,000 万元","13,000 万元-15,000 万元",亏损,坏→更坏,0.0
002184,2020-01-31,3000.0,5000.0,"2,500 万元至3,500 万元","4,500 万元-5,500 万元",亏损,好→更好,0.0
002186,2019-01-31,,10199.7,,8159.76 万元—12239.64 万元,同向上升,,
002188,2018-01-31,,-165000.0,,"150,000 万元–180,000 万元",亏损,,
002189,2019-01-31,6000.0,16500.0,"5,500 万元至6,500 万元","15,500 万元至17,500 万元",,好→更好,0.0
002190,2018-01-13,-700.0,-8200.0,"-1,900 万元～500 万元","-10,200 万元～-6,200 万元",,坏→更坏,0.0
002190,2024-02-24,,,,,,,
002192,2017-01-25,800.0,550.0,600 万元至1000 万元,450 万元– 650 万元,,坏→更坏,0.0
