code,year,label,score,stage_date,stage
000425,2022,0.0,0.01309508443002391,2022-04-30,① 一季报披露
000426,2022,0.0,0.27747138514490466,2022-04-30,① 一季报披露
000428,2022,1.0,0.7111040289049732,2022-04-30,① 一季报披露
000429,2022,0.0,0.009519054729450293,2022-04-27,① 一季报披露
000430,2022,1.0,0.5665436482984059,2022-04-27,① 一季报披露
000488,2022,0.0,0.05534739500924693,2022-04-30,① 一季报披露
000498,2022,0.0,0.013130597835842599,2022-04-26,① 一季报披露
000501,2022,0.0,0.013932807226593305,2022-04-28,① 一季报披露
000503,2022,1.0,0.21823472812842531,2022-04-30,① 一季报披露
000504,2022,1.0,0.2813641731375341,2022-04-30,① 一季报披露
000505,2022,0.0,0.04484017927328891,2022-04-27,① 一季报披露
000506,2022,0.0,0.11990211872983912,2022-04-29,① 一季报披露
000507,2022,0.0,0.03185240559154493,2022-04-30,① 一季报披露
000509,2022,1.0,0.15604483852073295,2022-04-23,① 一季报披露
000510,2022,0.0,0.020707321897237573,2022-04-27,① 一季报披露
000513,2022,0.0,0.010628284662486769,2022-04-22,① 一季报披露
000514,2022,0.0,0.11617435708126102,2022-04-22,① 一季报披露
000516,2022,1.0,0.7599892804880988,2022-04-28,① 一季报披露
000517,2022,0.0,0.010053597636895797,2022-04-30,① 一季报披露
000518,2022,1.0,0.5920879068291278,2022-04-29,① 一季报披露
000519,2022,0.0,0.018036476718420527,2022-04-26,① 一季报披露
000520,2022,0.0,0.017057348772261626,2022-04-20,① 一季报披露
000521,2022,0.0,0.25475520881575026,2022-04-20,① 一季报披露
000523,2022,1.0,0.3405393641334174,2022-04-30,① 一季报披露
000524,2022,1.0,0.4977778349540448,2022-04-30,① 一季报披露
000525,2022,0.0,0.06231624458747631,2022-04-30,① 一季报披露
000526,2022,0.0,0.2714982449139084,2022-04-26,① 一季报披露
000528,2022,0.0,0.038001022161187316,2022-04-29,① 一季报披露
000529,2022,0.0,0.02675297166817558,2022-04-28,① 一季报披露
000530,2022,0.0,0.16376693824699706,2022-04-23,① 一季报披露
000531,2022,1.0,0.21844332405781383,2022-04-30,① 一季报披露
000532,2022,0.0,0.08324456103747432,2022-04-27,① 一季报披露
000533,2022,0.0,0.09827641475376067,2022-04-30,① 一季报披露
000534,2022,0.0,0.03409828897958532,2022-04-30,① 一季报披露
000536,2022,1.0,0.5277556768218953,2022-04-29,① 一季报披露
000537,2022,0.0,0.2541856737762336,2022-04-29,① 一季报披露
000538,2022,0.0,0.02246550664414113,2022-04-29,① 一季报披露
000539,2022,1.0,0.2315705239607218,2022-04-28,① 一季报披露
000541,2022,0.0,0.0532610280070881,2022-04-30,① 一季报披露
000543,2022,0.0,0.05889368953356038,2022-04-28,① 一季报披露
000544,2022,0.0,0.05419556203641268,2022-04-28,① 一季报披露
000545,2022,1.0,0.03526674448292969,2022-04-29,① 一季报披露
000546,2022,1.0,0.15997472647822006,2022-04-15,① 一季报披露
000547,2022,0.0,0.04181117051005628,2022-04-29,① 一季报披露
000548,2022,0.0,0.08099644856260861,2022-04-27,① 一季报披露
000550,2022,0.0,0.03439973572707949,2022-04-27,① 一季报披露
000551,2022,0.0,0.029485041298049304,2022-04-28,① 一季报披露
000552,2022,0.0,0.017160177890854868,2022-04-27,① 一季报披露
