date,变更,名单内变更,名单内·明说会亏累计,名单内·已确认累计,名单内·未确认累计
2024-04-16 00:00:00,1,0,0,0,503
2024-10-26 00:00:00,1,0,0,0,503
2024-12-21 00:00:00,1,0,0,0,503
2024-12-25 00:00:00,2,0,0,0,503
2025-01-03 00:00:00,3,0,0,0,503
2025-01-04 00:00:00,2,0,0,0,503
2025-01-06 00:00:00,2,0,0,0,503
2025-01-07 00:00:00,4,0,0,0,503
2025-01-08 00:00:00,6,0,0,0,503
2025-01-09 00:00:00,6,0,0,0,503
2025-01-10 00:00:00,10,0,0,0,503
2025-01-11 00:00:00,14,1,1,1,502
2025-01-13 00:00:00,7,0,1,1,502
2025-01-14 00:00:00,28,3,4,4,499
2025-01-15 00:00:00,54,11,15,15,488
2025-01-16 00:00:00,65,8,23,23,480
2025-01-17 00:00:00,193,33,55,56,447
2025-01-18 00:00:00,458,117,168,173,330
2025-01-19 00:00:00,16,7,175,180,323
2025-01-20 00:00:00,78,20,193,200,303
2025-01-21 00:00:00,302,57,245,257,246
2025-01-22 00:00:00,226,35,277,292,211
2025-01-23 00:00:00,263,37,310,329,174
2025-01-24 00:00:00,372,58,358,387,116
2025-01-24 18:02:13,1,0,358,387,116
2025-01-25 00:00:00,344,63,416,450,53
2025-01-27 00:00:00,59,9,424,459,44
2025-01-28 00:00:00,33,5,427,464,39
2025-02-05 00:00:00,1,0,427,464,39
2025-02-26 00:00:00,1,1,427,465,38
2025-02-28 00:00:00,1,0,427,465,38
2025-03-05 00:00:00,1,0,427,465,38
2025-03-14 00:00:00,1,0,427,465,38
2025-03-14 19:22:13,1,0,427,465,38
2025-03-21 00:00:00,1,0,427,465,38
2025-03-22 00:00:00,2,0,427,465,38
2025-03-25 00:00:00,1,0,427,465,38
2025-03-27 00:00:00,2,0,427,465,38
2025-03-27 18:52:30,1,0,427,465,38
2025-03-28 00:00:00,2,0,427,465,38
2025-03-28 22:24:14,1,0,427,465,38
2025-03-29 00:00:00,4,0,427,465,38
2025-03-31 00:00:00,1,0,427,465,38
2025-04-01 00:00:00,1,0,427,465,38
2025-04-02 19:12:07,1,0,427,465,38
2025-04-03 00:00:00,3,1,427,466,37
2025-04-03 18:50:08,1,1,427,467,36
2025-04-04 00:00:00,3,1,427,468,35
2025-04-08 00:00:00,1,0,427,468,35
2025-04-09 00:00:00,2,0,427,468,35
2025-04-12 00:00:00,5,2,427,470,33
2025-04-15 00:00:00,1,0,427,470,33
2025-04-15 18:50:15,1,0,427,470,33
2025-04-16 00:00:00,2,0,427,470,33
2025-04-17 00:00:00,2,1,427,471,32
2025-04-17 20:22:13,1,0,427,471,32
2025-04-18 00:00:00,3,1,428,472,31
2025-04-18 17:52:28,1,0,428,472,31
2025-04-19 00:00:00,2,1,429,473,30
2025-04-22 00:00:00,5,2,429,475,28
2025-04-22 18:18:13,1,1,429,476,27
2025-04-22 19:37:21,1,0,429,476,27
2025-04-23 00:00:00,4,1,430,477,26
2025-04-24 00:00:00,3,2,431,479,24
2025-04-24 20:06:12,1,0,431,479,24
2025-04-25 16:46:13,1,0,431,479,24
2025-04-26 00:00:00,3,1,432,480,23
2025-04-28 00:00:00,3,0,432,480,23
2025-04-29 00:00:00,3,2,432,482,21
2025-04-30 00:00:00,3,0,432,482,21
