code,date,grp
600107,2025-04-30,③ 亏了也戴帽
600117,2023-04-29,③ 亏了也戴帽
600136,2023-06-06,③ 亏了也戴帽
600165,2024-04-03,③ 亏了也戴帽
600302,2026-04-30,③ 亏了也戴帽
600337,2026-04-30,③ 亏了也戴帽
600340,2026-04-30,③ 亏了也戴帽
600370,2026-04-29,③ 亏了也戴帽
600439,2026-07-31,③ 亏了也戴帽
600476,2026-04-28,③ 亏了也戴帽
600491,2026-04-30,③ 亏了也戴帽
600537,2026-04-28,③ 亏了也戴帽
600543,2023-04-28,③ 亏了也戴帽
600589,2023-04-26,③ 亏了也戴帽
600624,2025-09-20,③ 亏了也戴帽
600730,2026-04-25,③ 亏了也戴帽
600735,2025-09-27,③ 亏了也戴帽
600745,2026-04-30,③ 亏了也戴帽
600753,2025-04-26,③ 亏了也戴帽
600818,2026-04-28,③ 亏了也戴帽
600831,2024-07-06,③ 亏了也戴帽
600889,2026-04-23,③ 亏了也戴帽
601718,2026-04-30,③ 亏了也戴帽
603001,2023-04-26,③ 亏了也戴帽
603007,2024-04-30,③ 亏了也戴帽
603021,2025-04-22,③ 亏了也戴帽
603023,2024-04-30,③ 亏了也戴帽
603030,2023-04-29,③ 亏了也戴帽
603117,2023-05-19,③ 亏了也戴帽
603261,2025-04-26,③ 亏了也戴帽
603359,2026-04-29,③ 亏了也戴帽
603363,2024-04-30,③ 亏了也戴帽
603377,2024-04-30,③ 亏了也戴帽
603378,2026-04-30,③ 亏了也戴帽
603398,2025-04-30,③ 亏了也戴帽
603429,2026-03-21,③ 亏了也戴帽
603557,2024-04-27,③ 亏了也戴帽
603559,2023-10-12,③ 亏了也戴帽
603718,2026-04-30,③ 亏了也戴帽
603721,2025-04-30,③ 亏了也戴帽
603789,2025-04-30,③ 亏了也戴帽
603813,2025-04-29,③ 亏了也戴帽
603822,2025-12-10,③ 亏了也戴帽
603825,2025-08-23,③ 亏了也戴帽
603828,2024-04-30,③ 亏了也戴帽
603838,2025-04-29,③ 亏了也戴帽
603843,2025-04-30,③ 亏了也戴帽
603869,2024-04-30,③ 亏了也戴帽
603879,2024-04-30,③ 亏了也戴帽
603922,2026-04-29,③ 亏了也戴帽
603959,2024-04-30,③ 亏了也戴帽
605199,2025-04-29,③ 亏了也戴帽
605336,2026-04-22,③ 亏了也戴帽
688033,2026-04-30,③ 亏了也戴帽
688053,2025-09-20,③ 亏了也戴帽
688066,2026-04-30,③ 亏了也戴帽
688184,2025-07-26,③ 亏了也戴帽
688189,2026-06-10,③ 亏了也戴帽
688201,2026-04-28,③ 亏了也戴帽
688282,2024-04-30,③ 亏了也戴帽
688496,2026-04-29,③ 亏了也戴帽
688500,2023-04-29,③ 亏了也戴帽
688511,2025-04-30,③ 亏了也戴帽
688622,2026-04-29,③ 亏了也戴帽
