date,code,from,to,kind,title,公告日,在名单,score,首次确认
2025-01-11 00:00:00,600664,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-11 00:00:00,False,0.009715,True
2025-01-11 00:00:00,600857,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,2025-01-11 00:00:00,False,0.156335,True
2025-01-11 00:00:00,601238,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-11 00:00:00,False,0.042576,True
2025-01-11 00:00:00,601919,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-11 00:00:00,False,0.002961,True
2025-01-11 00:00:00,688709,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-11 00:00:00,False,0.009913,True
2025-01-13 00:00:00,300292,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-13 00:00:00,False,0.152717,True
2025-01-13 00:00:00,300401,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-13 00:00:00,False,0.039827,True
2025-01-13 00:00:00,300641,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-13 00:00:00,False,0.051849,True
2025-01-13 00:00:00,300729,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-13 00:00:00,False,0.024722,True
2025-01-13 00:00:00,300871,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,2025-01-13 00:00:00,False,0.657502,True
2025-01-13 00:00:00,300893,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-13 00:00:00,False,0.008781,True
2025-01-13 00:00:00,300950,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-13 00:00:00,False,0.018099,True
2025-01-14 00:00:00,002171,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-14 00:00:00,False,0.019251,True
2025-01-14 00:00:00,002176,预测中,已明说会亏,预告,2024年度业绩预告（减亏）,2025-01-14 00:00:00,False,0.56738,True
2025-01-14 00:00:00,002207,预测中,已明说会亏,预告,2024年度业绩预告（减亏）,2025-01-14 00:00:00,True,0.664058,True
2025-01-14 00:00:00,002299,预测中,已明说不会亏,预告,2024年度业绩预告（略增）,2025-01-14 00:00:00,False,0.073959,True
2025-01-14 00:00:00,002371,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-14 00:00:00,False,0.00224,True
2025-01-14 00:00:00,002468,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-14 00:00:00,False,0.016011,True
2025-01-14 00:00:00,002657,预测中,已明说会亏,预告,2024年度业绩预告（减亏）,2025-01-14 00:00:00,False,0.646841,True
2025-01-14 00:00:00,002918,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,2025-01-14 00:00:00,False,0.103276,True
2025-01-14 00:00:00,002969,预测中,已明说不会亏,预告,2024年度业绩预告（略增）,2025-01-14 00:00:00,False,0.012139,True
2025-01-14 00:00:00,300001,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-14 00:00:00,False,0.033803,True
2025-01-14 00:00:00,300100,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-14 00:00:00,False,0.066641,True
2025-01-14 00:00:00,300342,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-14 00:00:00,False,0.156992,True
2025-01-14 00:00:00,300563,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,2025-01-14 00:00:00,False,0.013416,True
2025-01-14 00:00:00,300736,预测中,已明说会亏,预告,2024年度业绩预告（减亏）,2025-01-14 00:00:00,True,0.686951,True
2025-01-14 00:00:00,301100,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,2025-01-14 00:00:00,False,0.633105,True
2025-01-14 00:00:00,301103,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,2025-01-14 00:00:00,False,0.359451,True
