date,code,from,to,kind,title,在名单,首次确认
2024-04-16 00:00:00,601101,预测中,已明说不会亏,预告,2024年度业绩预告（略减）,False,True
2024-10-26 00:00:00,002475,预测中,已明说不会亏,预告,2024年度业绩预告（略增）,False,True
2024-12-21 00:00:00,002444,预测中,已明说不会亏,预告,2024年度业绩预告（略增）,False,True
2024-12-25 00:00:00,301078,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,False,True
2024-12-25 00:00:00,603617,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,False,True
2025-01-03 00:00:00,002204,预测中,已明说不会亏,预告,2024年度业绩预告（略增）,False,True
2025-01-03 00:00:00,600519,预测中,已明说不会亏,预告,2024年度业绩预告（略增）,False,True
2025-01-03 00:00:00,603320,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,False,True
2025-01-04 00:00:00,300498,预测中,已明说不会亏,预告,2024年度业绩预告（扭亏）,False,True
2025-01-04 00:00:00,600983,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,False,True
2025-01-06 00:00:00,000619,预测中,已明说会亏,预告,2024年度业绩预告（增亏）,False,True
2025-01-06 00:00:00,688208,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,False,True
2025-01-07 00:00:00,601198,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,False,True
2025-01-07 00:00:00,300962,预测中,已明说不会亏,预告,2024年度业绩预告（续盈）,False,True
2025-01-07 00:00:00,002843,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,False,True
2025-01-07 00:00:00,002643,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,False,True
2025-01-08 00:00:00,002124,预测中,已明说不会亏,预告,2024年度业绩预告（扭亏）,False,True
2025-01-08 00:00:00,002709,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,False,True
2025-01-08 00:00:00,300389,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,False,True
2025-01-08 00:00:00,300708,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,False,True
2025-01-08 00:00:00,600096,预测中,已明说不会亏,预告,2024年度业绩预告（略增）,False,True
2025-01-08 00:00:00,600435,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,False,True
2025-01-09 00:00:00,002258,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,False,True
2025-01-09 00:00:00,002714,预测中,已明说不会亏,预告,2024年度业绩预告（扭亏）,False,True
2025-01-09 00:00:00,300684,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,False,True
2025-01-09 00:00:00,300711,预测中,已明说不会亏,预告,2024年度业绩预告（略增）,False,True
2025-01-09 00:00:00,688362,预测中,已明说不会亏,预告,2024年度业绩预告（扭亏）,False,True
2025-01-09 00:00:00,688768,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,False,True
2025-01-10 00:00:00,600026,预测中,已明说不会亏,预告,2024年度业绩预告（略增）,False,True
2025-01-10 00:00:00,601798,预测中,已明说会亏,预告,2024年度业绩预告（减亏）,False,True
2025-01-10 00:00:00,300627,预测中,已明说不会亏,预告,2024年度业绩预告（略增）,False,True
2025-01-10 00:00:00,600135,预测中,已明说会亏,预告,2024年度业绩预告（增亏）,False,True
2025-01-10 00:00:00,300415,预测中,已明说不会亏,预告,2024年度业绩预告（略增）,False,True
2025-01-10 00:00:00,002311,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,False,True
2025-01-10 00:00:00,002437,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,False,True
2025-01-10 00:00:00,002273,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,False,True
2025-01-10 00:00:00,001288,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,False,True
2025-01-10 00:00:00,002534,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,False,True
2025-01-11 00:00:00,688709,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,False,True
2025-01-11 00:00:00,600501,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,False,True
2025-01-11 00:00:00,601919,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,False,True
2025-01-11 00:00:00,601238,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,False,True
2025-01-11 00:00:00,600857,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,False,True
2025-01-11 00:00:00,600664,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,False,True
2025-01-11 00:00:00,600195,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,False,True
2025-01-11 00:00:00,000591,预测中,已明说不会亏,预告,2024年度业绩预告（略减）,False,True
2025-01-11 00:00:00,002901,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,False,True
2025-01-11 00:00:00,002659,预测中,已明说会亏,预告,2024年度业绩预告（减亏）,True,True
2025-01-11 00:00:00,002641,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,False,True
2025-01-11 00:00:00,000950,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,False,True
2025-01-11 00:00:00,000633,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,False,True
2025-01-11 00:00:00,300503,预测中,已明说不会亏,预告,2024年度业绩预告（扭亏）,False,True
2025-01-13 00:00:00,300950,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,False,True
2025-01-13 00:00:00,300893,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,False,True
2025-01-13 00:00:00,300871,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,False,True
2025-01-13 00:00:00,300641,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,False,True
2025-01-13 00:00:00,300401,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,False,True
2025-01-13 00:00:00,300292,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,False,True
2025-01-13 00:00:00,300729,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,False,True
2025-01-14 00:00:00,301187,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,False,True
2025-01-14 00:00:00,301459,预测中,已明说不会亏,预告,2024年度业绩预告（略增）,False,True
2025-01-14 00:00:00,600446,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,False,True
2025-01-14 00:00:00,600589,预测中,已明说会亏,预告,2024年度业绩预告（首亏）,False,True
2025-01-14 00:00:00,603530,预测中,已明说不会亏,预告,2024年度业绩预告（预增）,False,True
2025-01-14 00:00:00,603978,预测中,已明说会亏,预告,2024年度业绩预告（增亏）,True,True
2025-01-14 00:00:00,605003,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,False,True
2025-01-14 00:00:00,605222,预测中,已明说不会亏,预告,2024年度业绩预告（预减）,False,True
