code,date,grp,chars,锚点,类别,证据,title,非公司件,未实施件,粗类
002058,2025-04-29,③ 亏了也戴帽,2103,实施退市风险警示的原因,财务类：收入或净资产指标,扣除非经常性损益后的净利润三者孰低为负值，且扣除后的营业收入低于3亿元。触及《深圳证券交易所股票上市规则》第9.3.1条规定的情形，上市公司出现“（一）最近一个会计年度经审计的,关于公司股票被实施退市风险警示暨股票停牌的公告,False,False,财务类
002082,2026-04-30,③ 亏了也戴帽,1767,实施其他风险警示的原因,内控被否 / 重大缺陷,见或者否定意见的审计报告，或者未按照规定披露财务报告内部控制审计报告”情形的，深圳证券交易所将对公司股票交易实施其他风险警示。三、董事会关于争取撤销其他风险警示的意见及具体措施,关于公司股票交易被实施其他风险警示暨股票停复牌的公告,False,False,合规/治理类
002092,2024-05-24,③ 亏了也戴帽,7011,触及《,资金占用（非经营性）,契约锁8对行政处罚涉及的虚增收入、成本和归还非经营性资金占用款项、利息事项做了会计差错更正，并对以前年度财务报表进行追溯调整。发行人将在收到《行政处罚决定书》之日起满十二个月后,申万宏源证券有限公司关于新疆中泰化学股份有限公司股票交易将被实施其他风险警示暨股票停牌的临时受托管理事务报告,True,False,合规/治理类
002124,2024-04-30,③ 亏了也戴帽,1845,的主要原因,重整 / 破产,：1、2024年4月8日公司股东大会审议通过了拟进行重整暨预重整的议案。公司拟借助这次重整的契机，清退低效资产、去除冗余产能、提升资产质量、化解债务风险、降低资产负债率，从而改,关于公司股票被实施其他风险警示暨停牌的公告,False,False,重整/破产
002141,2024-04-26,③ 亏了也戴帽,2193,的主要原因,内控被否 / 重大缺陷,退市风险警示”。2.公司2023年度被出具否定意见的内部控制审计报告，上述事项触及现行《深圳证券交易所股票上市规则》第9.8.1条“（四）公司最近一年被出具无法表示意见或者否定,关于公司股票交易实施退市风险警示和其他风险警示暨停复牌公告,False,False,合规/治理类
002157,2023-07-21,③ 亏了也戴帽,4189,触及《,重整 / 破产,《深圳证券交易所上市公司自律监管指引第14号——破产重整等事项》等的有关规定履行信息披露义务。公司指定信息披露媒体为《证券时报》《证券6日报》《上海证券报》和巨潮资讯网，有关公,关于法院裁定受理公司重整及指定管理人暨公司股票交易将被叠加实施退市风险警示的公告,False,False,重整/破产
002197,2024-09-05,③ 亏了也戴帽,2052,实施其他风险警示的原因,信息披露违法 / 立案 / 处罚,日，公司及相关责任人收到中国证监会深圳证监局下发的《行政处罚事先告知书》（[2024]17号），根据本次《行政处罚事先告知书》认定的情况，公司披露的年度报告财务指标存在虚假记载,关于公司股票交易被叠加实施其他风险警示的公告,False,False,合规/治理类
002214,2025-04-26,③ 亏了也戴帽,2298,触及《,财务类：收入或净资产指标,扣除非经常性损益后的净利润三者孰低为负值，且扣除后的营业收入低于3亿元。”规定的情形，公司股票交易因此被深圳证券交易所实施退市风险警示。根据《股票上市规则》第9.3.4条规定，,浙江大立科技股份有限公司关于公司股票交易被实施退市风险警示暨停牌的公告,False,False,财务类
002217,2024-04-30,③ 亏了也戴帽,3336,触及《,财务类：收入或净资产指标,023年度审计报告，公司2023年度末合并口径经审计净资产为负值，触及《深圳证券交易所股票上市规则》第9.3.1条第一款第（二）项的规定，上市公司出现“最近一个会计年度经审计的,2024-040  关于公司股票交易被实施退市风险警示及其他风险警示暨股票交易停牌的公告,False,False,财务类
002227,2026-04-21,③ 亏了也戴帽,2195,实施退市风险警示的原因,财务类：收入或净资产指标,扣除非经常性损益后的净利润三者孰低为负值，且扣除后的营业收入低于3亿元”的情形，深圳证券交易所对其股票交易实施退市风险警示。公司2025年度经审计的财务指标符合前述规定的情形，,关于股票交易被实施退市风险警示暨股票停牌的公告,False,False,财务类
002251,2023-10-30,③ 亏了也戴帽,1390,的主要原因,重整 / 破产,10号《民事裁定书》，湘潭中院裁定受理申请人对公司的重整申请。2/2根据《深圳证券交易所股票上市规则》（以下简称“《上市规则》”）第9.4.1条的规定，“上市公司出现下列情形之,关于公司股票被实施退市风险警示暨股票停牌的公告,False,False,重整/破产
002253,2025-04-28,③ 亏了也戴帽,2274,实施退市风险警示的原因,财务类：收入或净资产指标,扣除非经常性损益后的净利润三者孰低为负值，且扣除后的营业收入低于3亿元”的情形，公司股票交易将被深圳证券交易所实施退市风险警示。三、董事会关于争取撤销风险警示的意见及主要措施针,关于公司股票交易被实施退市风险警示暨停牌的公告,False,False,财务类
002289,2023-04-27,③ 亏了也戴帽,1819,的主要原因,未归类,的主要原因《深圳证券交易所股票上市规则》第9.8.1条第（七）项规定，公司最近三个会计年度扣除非经常性损益前后净利润孰低者均为负值，且最近一年审计报告显示公司持,关于公司股票交易被实施其他风险警示暨停复牌的公告,False,False,未归类
002305,2025-04-29,③ 亏了也戴帽,2453,的主要原因,财务类：收入或净资产指标,第9.3.1条之“（二）最近一个会计年度经审计的期末净资产为负值”规定的对股票交易实施退市风险警示的情形，公司股票交易将在披露2024年年度报告后被实施退市风险警示。立信会计师,关于公司股票交易被实施退市风险警示及其他风险警示暨停牌的公告,False,False,财务类
002309,2024-05-14,③ 亏了也戴帽,1502,实施其他风险警示的原因,重整 / 破产,其他风险警示，公司股票交易不停牌。2、公司已经处于预重整阶段。公司将继续积极配合重整工作推进，以期借助司法程序引入重整投资人，若重整实施完成，将解决公司相关问题，使公司重回良性,关于公司股票交易被叠加实施其他风险警示的公告,False,False,重整/破产
002310,2024-11-23,③ 亏了也戴帽,2220,,财务类：收入或净资产指标,重整期间的管理人。2、因公司2023年度经审计的期末净资产为负值，2021-2023年连续三个会计年度经审计扣除非经常性损益前后净利润孰低者均为负值，且2023年度审计报告显示,关于公司股票交易被叠加实施退市风险警示的公告,False,False,财务类
002431,2026-04-25,③ 亏了也戴帽,2569,实施其他风险警示的原因,未归类,实施其他风险警示的原因根据《深圳证券交易所股票上市规则》第9.8.1条第(七)项的规定，“上市公司出现最近三个会计年度扣除非经常性损益前后净利润孰低者均为负值，,关于公司股票被实施其他风险警示暨停复牌公告,False,False,未归类
002528,2025-04-30,③ 亏了也戴帽,2504,实施其他风险警示的原因,内控被否 / 重大缺陷,原因2023年度，公司被中兴华出具了无法表示意见的《内部控制审计报告》（中兴华内控审计字（2024）第010012号），根据《深圳证券交易所股票上市规则》第9.8.1条第（四）,关于公司股票被叠加实施其他风险警示的公告,False,False,合规/治理类
002542,2026-04-18,③ 亏了也戴帽,1960,实施退市风险警示的原因,财务类：收入或净资产指标,示的原因公司2025年末经审计的归属于上市公司股东的净资产为负值。根据《股票上市规则》第9.3.1条第一款的规定，上市公司出现“（二）近一个会计年度经审计的期末净资产为负值”的,关于公司股票交易被实施退市风险警示暨停牌的公告,False,False,财务类
002547,2026-04-29,③ 亏了也戴帽,1777,触及《,规范运作类其他,利能力，推动经营效益稳步改善。3、健全风控体系，保障规范运作,关于公司股票被实施退市风险警示叠加其他风险警示暨股票停牌的公告,False,False,合规/治理类
002581,2026-04-29,③ 亏了也戴帽,1355,的主要原因,财务类：净利润为负 / 连亏,度公司经审计的利润总额、净利润、扣除非经常性损益后的净利润为负值，且扣除后的营业收入低于3亿元，根据《深圳证券交易所股票上市规则》9.3.1条的相关规定，公司股票交易被实施退市,关于公司股票被实施退市风险警示暨停牌的公告,False,False,财务类
002630,2025-04-29,③ 亏了也戴帽,2585,的主要原因,内控被否 / 重大缺陷,川华信会计师事务所出具了无法表示意见的《2024年度内部控制审计报告》。根据《深圳证券交易所股票上市规则》第9.8.1条第（四）款的规定：最近一个会计年度财务报告内部控制被出具,关于公司股票被实施其他风险警示暨股票停牌的公告,False,False,合规/治理类
002634,2026-04-25,③ 亏了也戴帽,3645,实施其他风险警示的原因,重整 / 破产,实维护公司和投资者利益。具体措施如下：1、大力推进预重整相关工作公司将以高度的责任感与积极性，严格依照法律规定，切实履行债务人的法定义务，秉持市场化、法治化原则，依法合规与各方,关于公司股票将被实施退市风险警示和其他风险警示暨停牌的公告,False,False,重整/破产
002647,2024-12-31,③ 亏了也戴帽,6321,实施退市风险警示的原因,重整 / 破产,州中院裁定受理申请人北京乐橙互娱科技有限公司对公司的重整申请。根据《深圳证券交易所股票上市规则》第9.4.1条第（九）项规定：“上市公司出现下列情形之一的，本所对其股票交易实施,关于法院裁定受理公司重整并指定管理人暨公司股票交易将被实施退市风险警示的公告,False,False,重整/破产
002656,2023-06-30,③ 亏了也戴帽,1690,实施其他风险警示的原因,内控被否 / 重大缺陷,警示的原因因中喜会计师事务所对公司出具无法表示意见的内部控制审计报告，根据《深圳证券交易所股票上市规则》第九章第八节第9.8.1条第（四）项规定，公司触及被实施“其他风险警示”,关于公司股票交易被叠加实施其他风险警示的公告,False,False,合规/治理类
002667,2026-04-30,③ 亏了也戴帽,2115,的主要原因,内控被否 / 重大缺陷,进行了2025年度内部控制审计并出具了《2025年度内部控制审计报告》，财务报告内部控制为否定意见。根据《深圳证券交易所股票上市规则》第9.8.1条第（四）款的规定，深圳证券交,关于公司股票交易被实施退市风险警示及其他风险警示暨停复牌的公告,False,False,合规/治理类
002691,2026-04-29,③ 亏了也戴帽,2081,实施退市风险警示的原因,财务类：收入或净资产指标,利润、扣除非经常性损益后的净利润均为负值，且扣除后的营业收入低于3亿元。根据《深圳证券交易所股票上市规则》的规定，公司2025年度财务指标触及第9.3.1条第一款第（一）项的规,关于公司股票交易被实施退市风险警示暨股票停复牌安排的公告,False,False,财务类
002693,2025-04-29,③ 亏了也戴帽,2710,的主要原因,财务类：收入或净资产指标,扣除非经常性损益后的净利润三者孰低为负值，且扣除后的营业收入低于3亿元”的情形，其股票交易将被实施退市风险警示。因公司2024年度经审计的上述财务指标触及了第9.3.1条第一款,海南双成药业股份有限公司关于公司股票被实施退市风险警示暨停牌的公告,False,False,财务类
002694,2026-04-29,③ 亏了也戴帽,2307,的主要原因,财务类：收入或净资产指标,1条第一款第二项的规定“最近一个会计年度经审计的期末净资产为负值”的情形，深圳证券交易所对公司股票交易实施退市风险警示。2、公司最近三个会计年度经审计扣除非经常性损益前后净利润,关于公司股票交易被实施退市风险警示暨股票停复牌安排的公告,False,False,财务类
002713,2025-04-29,③ 亏了也戴帽,2882,触及《,财务类：收入或净资产指标,024年度审计报告，公司2024年度末合并口径经审计净资产为负值，触及《深圳证券交易所股票上市规则》第9.3.1条第一款第（二）项的规定，上市公司出现“最近一个会计年度经审计的,2025-039 关于公司股票交易被实施退市风险警示及其他风险警示暨股票交易停牌的公告,False,False,财务类
002717,2026-06-03,③ 亏了也戴帽,1995,实施其他风险警示的原因,信息披露违法 / 立案 / 处罚,实施其他风险警示的原因公司近日收到广东证监局出具的《行政处罚事先告知书》（广东证监处罚字〔2026〕6号），《告知书》中指出公司披露的年度报告财务指标存在虚假记载行为，根据《深,关于公司股票被叠加实施其他风险警示的公告,False,False,合规/治理类
002721,2023-07-21,③ 亏了也戴帽,2387,触及《,重整 / 破产,规定，公司股票将被终止上市。3、如果后续公司顺利实施重整并执行完毕重整计划，将改善公司的资产负债结构，进而改善公司经营状况。但公司后续经营和财务指标如果不符合《股票上市规则》等,关于公司股票被叠加实施退市风险警示的公告,False,False,重整/破产
002726,2026-04-29,③ 亏了也戴帽,2055,的主要原因,内控被否 / 重大缺陷,被和信会计师事务所（特殊普通合伙）出具了否定意见的《内部控制审计报告》；公司2023年度、2024年度、2025年度扣除非经常性损益前后净利润孰低者均为负值，且2025年度审计,关于公司股票交易被实施其他风险警示暨股票停牌的公告,False,False,合规/治理类
002742,2023-04-29,③ 亏了也戴帽,2805,,资金占用（非经营性）,未经公司董事会、监事会和股东大会审议，已经构成关联方资金占用。2、公司海外子公司三圣药业有限公司于2019年6月26日与埃塞俄比亚NIB国际银行签订抵押担保合同，以其厂房和机器,关于公司股票被叠加实施其他风险警示的公告,False,False,合规/治理类
002743,2026-09-05,③ 亏了也戴帽,1816,实施其他风险警示的原因,重整 / 破产,障治理架构平稳有序运转。3、在合肥中院已对公司启动预重整的基础上，公司正在全面推动相关融资方案，专项用于保障公司生产经营资金需求。同时，公司持续盘活低效资产，优化资产结构，夯实,关于公司主要银行账号被冻结暨股票交易被实施其他风险警示及股票停复牌的公告,False,False,重整/破产
002789,2025-04-25,③ 亏了也戴帽,3507,的主要原因,财务类：收入或净资产指标,》第9.3.1条“（二）最近一个会计年度经审计的期末净资产为负值。”规定的情形，公司股票交易因此被深圳证券交易所实施退市风险警示。依据公司2022、2023、2024年年度报告,关于公司股票被实施退市风险警示叠加其他风险警示暨股票停牌的公告,False,False,财务类
002848,2025-04-25,③ 亏了也戴帽,2902,的主要原因,财务类：净利润为负 / 连亏,披露《2024年年度报告》，最近一个会计年度经审计的净利润为负值且扣除后营业收入低于3亿元，根据《深圳证券交易所股票上市规则》第9.3.1条第（一）款规定的情形“最近一个会计年,关于公司股票交易被实施退市风险警示及实施其他风险警示暨停牌的公告,False,False,财务类
002856,2026-04-29,③ 亏了也戴帽,3715,的主要原因,财务类：收入或净资产指标,》第9.3.1条“（二）最近一个会计年度经审计的期末净资产为负值”规定的情形，公司股票交易将在披露2025年年度报告后被实施退市风险警示。中审亚太事务所对公司2025年度财务报,2026-027：关于公司股票交易被实施退市风险警示及其他风险警示暨停牌的公告,False,False,财务类
002868,2025-04-29,③ 亏了也戴帽,3015,实施其他风险警示的原因,未归类,"实施其他风险警示的原因公司2022年、2023年、2024度经审计的归属上市公司股东的净利润分别为-121,938,109.79元、-221,817,878.5",关于公司股票被实施退市风险警示及其他风险警示暨停牌的公告,False,False,未归类
002883,2026-04-30,③ 亏了也戴帽,2705,的主要原因,财务类：收入或净资产指标,扣除非经常性损益后的净利润三者孰低为负值，且扣除后的营业收入低于3亿元”规定的对股票交易实施退市风险警示的情形，公司股票交易将在披露2025年年度报告后被实施退市风险警示。三、,关于公司股票交易被实施退市风险警示及股票停牌的公告,False,False,财务类
003004,2025-04-30,③ 亏了也戴帽,2813,的主要原因,财务类：收入或净资产指标,扣除非经常性损益后的净利润三者孰低为负值，且扣除后的营业收入低于3亿元”规定的对股票交易实施退市风险警示的情形，公司股票交易将在披露2024年年度报告后被实施退市风险警示。三、,关于公司股票交易被实施退市风险警示暨股票停牌的公告,False,False,财务类
003032,2025-04-22,③ 亏了也戴帽,3018,实施退市风险警示的原因,财务类：收入或净资产指标,扣除非经常性损益后的净利润三者孰低为负值，且扣除后的营业收入低于3亿元”的情形，深圳证券交易所对其股票交易实施退市风险警示。公司2024年度经审计的财务指标符合前述规定的情形，,关于股票交易被实施退市风险警示暨股票停牌的公告,False,False,财务类
300010,2023-04-26,③ 亏了也戴帽,2395,实施退市风险警示的原因,财务类：收入或净资产指标,没有虚假记载、误导性陈述或者重大遗漏。度经审计的期末净资产为负值，或追溯重述后最近一个会计年度期末净资产为负值”，公司股票交易将被实施退市风险警示。2．公司最近三个会计年度扣除,关于公司股票被实施退市风险警示、其他风险警示暨临时停牌的公告,False,False,财务类
300013,2024-04-29,③ 亏了也戴帽,2314,,财务类：收入或净资产指标,条第一款第二项的规定，“最近一个会计年度经审计的期末净资产为负值，或追溯重述后最近一个会计年度期末净资产为负值”，公司股票交易将被实施退市风险警示。2.公司最近三个会计年度扣除,关于公司股票交易被实施退市风险警示及其他风险警示暨停牌的公告,False,False,财务类
300020,2024-09-27,③ 亏了也戴帽,1663,触及《,资金占用（非经营性）,团有限公司（以下简称“控股股东”）存在对公司非经营性资金占用情形，具体内容详见公司于2024年8月29日披露的《关于公司控股股东资金占用的专项报告》。截至目前，控股股东对公司资,关于公司股票被叠加实施其他风险警示的公告,False,False,合规/治理类
300068,2026-05-06,③ 亏了也戴帽,1687,触及《,内控被否 / 重大缺陷,见或者否定意见的审计报告，或者未按照规定披露财务报告内部控制审计报告”的情形。公司股票自2026年4月30日起被深圳证券交易所实施其他风险警示，公司股票简称由“南都电源”变更为,关于公司及子公司银行账户被冻结暨股票交易叠加实施其他风险警示的公告,False,False,合规/治理类
300091,2025-12-31,③ 亏了也戴帽,1685,的主要原因,重整 / 破产,56号《民事裁定书》，南通中院裁定受理申请人对公司的重整申请。根据《上市规则》第10.4.1条的规定，“上市公司出现下列情形之一的，本所对其股票交易实施退市风险警示：……（九）,关于公司股票被实施退市风险警示暨停牌的公告,False,False,重整/破产
300093,2025-04-29,③ 亏了也戴帽,2649,触及《,审计意见：无法表示 / 否定,"计师事务所（特殊普通合伙）对公司2024年度财务报表出具了无法表示意见的审计报告,触及《上市规则》第10.3.1条第（三）项规定：“最近一个会计年度的财务会计报告被出具无法表示",关于公司股票被实施退市风险警示、其他风险警示暨股票停复牌的公告,False,False,财务类
300125,2024-08-19,③ 亏了也戴帽,1957,触及《,规范运作类其他,司、格尔木神光新能源有限公司在未履行董事会审议程序及信息披露义务的情况下，违规为中财招商投资集团商业保理有限公司与金寨嘉悦正丰新能源有限公司的借款合同提供担保，涉及担保金额16,关于公司股票叠加实施其他风险警示事项的公告,False,False,合规/治理类
300152,2025-04-29,③ 亏了也戴帽,2104,实施其他风险警示的原因,内控被否 / 重大缺陷,了否定意见的《雄安新动力科技股份有限公司2024年度内部控制审计报告》。根据现行《深圳证券交易所创业板股票上市规则》第9.4条第（四）项规定，公司出现“（四）最近一个会计年度财,关于公司股票交易被实施其他风险警示、可能被实施退市风险警示暨股票停复牌的公告,False,False,合规/治理类
300159,2025-03-19,③ 亏了也戴帽,2286,,财务类：收入或净资产指标,"项规定，若上市公司出现“最近一个会计年度经审计的期末净资产为负值”的情形，其股票交易将被实施退市风险警示。公司披露的2024年度经审计的期末净资产为-271,222,109.3",关于公司股票交易将被实施退市风险警示暨股票停牌一天的公告,False,False,财务类
300167,2023-04-27,③ 亏了也戴帽,1526,实施其他风险警示的原因,未归类,实施其他风险警示的原因公司最近三个会计年度扣除非经常性损益前后净利润孰低者均为负值，且深圳永信瑞和会计师事务所(特殊普通合伙)对公司2022年度财务报表出具了带,关于公司股票交易将被实施其他风险警示暨股票停牌的公告,False,False,未归类
300209,2024-09-30,③ 亏了也戴帽,1551,,重整 / 破产,4）湘01破61号），长沙中院裁定受理申请人对公司的重整申请，并指定公司预重整阶段的临时管理人有棵树科技股份有限公司清算组担任公司管理人。2、公司2023年末经审计的归属于上市,关于公司股票交易被叠加实施退市风险警示的公告,False,False,重整/破产
300211,2025-04-30,③ 亏了也戴帽,2838,实施退市风险警示的原因,财务类：净利润为负 / 连亏,的投资；由于新业务处于发展初期，导致公司2024年度净利润为负且扣除后的营业收入低于1亿元。随着新业务进入释放期，预计未来公司的主营业务将会不断向好，持续经营能力不会存在重大风,关于公司股票交易将被实施退市风险警示暨股票停牌的公告,False,False,财务类
300237,2025-09-27,③ 亏了也戴帽,2059,实施其他风险警示的原因,信息披露违法 / 立案 / 处罚,实施其他风险警示的原因根据山东证监局下发的《行政处罚事先告知书》（﹝2025﹞9号）认定的情况，公司披露的2014年至2018年年度报告存在虚假记载，具体内容详见本公司,关于公司股票被实施其他风险警示暨停复牌的公告,False,False,合规/治理类
300245,2026-04-28,③ 亏了也戴帽,1610,实施其他风险警示的原因,资金占用（非经营性）,，控制风险，促进公司健康发展。2、针对关联方非经营性资金占用的,关于公司股票被实施其他风险警示暨股票停牌的公告,False,False,合规/治理类
300268,2023-04-07,③ 亏了也戴帽,2575,实施退市风险警示的原因,财务类：收入或净资产指标,第一款第（二）项规定：“最近一个会计年度经审计的期末净资产为负值，或追溯重述后最近一个会计年度期末净资产为负值”，公司股票交易将被实施退市风险警示。2．公司最近三个会计年度扣除,关于公司股票交易将被实施退市风险警示及其他风险警示暨股票停牌的公告,False,False,财务类
300295,2026-04-23,③ 亏了也戴帽,2134,实施退市风险警示的原因,财务类：收入或净资产指标,扣除非经常性损益后的净利润三者孰低为负值，且扣除后的营业收入低于1亿元的情形，深圳证券交易所对公司股票交易实施退市风险警示。二、股票的种类、简称、证券代码、被实施退市风险警示的,关于公司股票交易被实施退市风险警示暨停牌的公告,False,False,财务类
300301,2025-01-10,③ 亏了也戴帽,2159,实施其他风险警示的原因,信息披露违法 / 立案 / 处罚,整，没有虚假记载、误导性陈述或重大遗漏。管局出具的《行政处罚事先告知书》[2025]1号。根据《行政处罚事先告知书》认定的情况，公司控股子公司长方集团康铭盛（深圳）科技有限公司,关于公司股票被叠加实施其他风险警示的公告,False,False,合规/治理类
300326,2025-04-30,③ 亏了也戴帽,1630,实施其他风险警示的原因,内控被否 / 重大缺陷,见或者否定意见的审计报告，或者未按照规定披露财务报告内部控制审计报告”，公司的股票将被实施其他风险警示（ST）。三、董事会关于争取撤销其他风险警示的意见及具体措施针对上述内部控,上海凯利泰医疗科技股份有限公司关于公司股票被实施其他风险警示暨停复牌的公告(3),False,False,合规/治理类
300430,2026-04-30,③ 亏了也戴帽,1412,实施其他风险警示的原因,内控被否 / 重大缺陷,信永中和会计师事务所（特殊普通合伙）出具了否定意见的内部控制审计报告。根据《深圳证券交易所创业板股票上市规则》第9.4条第（四）项规定，上市公司出现“最近一个会计年度财务报告内,关于公司股票交易被实施退市风险警示叠加其他风险警示暨停牌的公告,False,False,合规/治理类
300460,2025-12-10,③ 亏了也戴帽,1939,实施其他风险警示的原因,信息披露违法 / 立案 / 处罚,实施其他风险警示的原因根据广东证监局下发的《行政处罚事先告知书》(广东证监处罚字[2025]22号)认定的情况，公司披露的2021年、2022年年度报告存在虚假记载，具,关于公司股票被实施其他风险警示暨停复牌的公告,False,False,合规/治理类
300462,2025-07-05,③ 亏了也戴帽,2122,实施其他风险警示的原因,信息披露违法 / 立案 / 处罚,的原因公司于2025年7月4日收到上海证监局下发的《行政处罚事先告知书》（沪证监罚字〔2025〕11号），根据《行政处罚事先告知书》认定的情况，公司披露的2020年、2021年,关于公司股票被实施其他风险警示暨停复牌的公告,False,False,合规/治理类
300477,2026-04-27,③ 亏了也戴帽,1646,,审计意见：无法表示 / 否定,计师事务所（特殊普通合伙）（以下简称“中兴财光华”）出具了否定意见的审计报告。,关于公司股票交易被叠加实施其他风险警示的公告,False,False,财务类
300506,2024-04-26,③ 亏了也戴帽,2364,的主要原因,财务类：净利润为负 / 连亏,第一项的规定，上市公司出现“最近一个会计年度经审计的净利润为负值且营业收入低于1亿元，或追溯重述后最近一个会计年度净利润为负值且营业收入低于1亿元”的情形，公司股票交易将被实施,关于公司股票交易将被实施退市风险警示及其他风险警示暨股票停牌一天的公告,False,False,财务类
300716,2025-05-23,③ 亏了也戴帽,2577,,违规担保,23日，公司控股子公司安徽泉为绿能新能源科技有限公司违规担保事项涉及的诉讼处于等待二审开庭前阶段，目前担保余额1001.26万元，占公司最近一期经审计净资产绝对值5%以上。根据,关于公司股票被叠加实施其他风险警示的公告,False,False,合规/治理类
300899,2025-04-29,③ 亏了也戴帽,2177,实施退市风险警示的原因,财务类：收入或净资产指标,扣除非经常性损益后的净利润三者孰低为负值，且扣除后的营业收入低于1亿元”的情形，深圳证券交易所对公司股票交易实施退市风险警示。三、公司董事会关于争取撤销退市风险警示的意见及具体,关于公司股票交易被实施退市风险警示暨停复牌的公告,False,False,财务类
301030,2026-04-30,③ 亏了也戴帽,2267,触及《,内控被否 / 重大缺陷,实施退市风险警示。因公司被出具否定意见的2025年度内部控制审计报告，根据《股票上市规则》相关规定，深圳证券交易所对其股票交易实施其他风险警示。三、公司董事会关于争取撤销退市风,关于公司股票交易被实施退市风险警示暨停牌一天的公告,False,False,合规/治理类
301288,2025-04-29,③ 亏了也戴帽,3756,实施退市风险警示的原因,财务类：收入或净资产指标,扣除非经常性损益后的净利润三者孰低为负值，且扣除后的营业收入低于1亿元”公司股票交易将被深圳证券交易所实施退市风险警示的情形。三、董事会关于争取撤销退市风险警示的意见及具体措施,关于公司股票交易将被实施退市风险警示暨股票停牌一天的公告,False,False,财务类
600053,2026-04-29,③ 亏了也戴帽,1925,,财务类：收入或净资产指标,除与主营业务无关的业务收入和不具备商业实质的收入后的营业收入低于3亿元，根据《上海证券交易所股票上市规则》（以下简称“《股票上市规则》”）的有关规定，上海证券交易所将对公司股票,九鼎投资关于公司股票被实施退市风险警示暨停牌的公告,False,False,财务类
600107,2025-04-30,③ 亏了也戴帽,1837,,内控被否 / 重大缺陷,订）》9.8.1条第（三）项的规定，公司2024年度内部控制审计报告被出具否定意见的审计报告，公司股票触及其他风险警示情形。本公司的相关证券停复牌情况如下：证券代码证券简称停复,关于实施其他风险警示暨停牌的公告,False,False,合规/治理类
600117,2023-04-29,③ 亏了也戴帽,1855,,财务类：收入或净资产指标,风险警示（ST）。2.公司2022年年度经审计的期末净资产为负值。对照《上海证券交易所股票上市规则》第9.3.2条第二款：“最近一个会计年度经审计的期末净资产为负值，或追溯重述,西宁特殊钢股份有限公司关于公司股票被实施退市风险警示叠加其他风险警示暨临时停牌的公告,False,False,财务类
600136,2023-06-06,③ 亏了也戴帽,6572,,违规担保,起被实施退市风险警示。同时，由于公司还存在持续经营、违规担保以及内部控制被出具否定意见的审计报告等问题，因此根据《上市规则》第9.8.1条的相关规定，公司股票被继续实施其他风险,武汉当代明诚文化体育集团股份有限公司关于法院裁定受理公司重整暨公司股票将被叠加实施退市风险警示的公告,False,False,合规/治理类
600165,2024-04-03,③ 亏了也戴帽,1583,,未归类,1证券代码：600165证券简称：宁科生物公告编号：2024-021宁夏中科生物科技股份有限公司关于实施其他风险警示暨停牌的公告本公司董事会及全体董事保证本公告,宁科生物关于实施其他风险警示暨停牌的公告,False,False,未归类
600302,2026-04-30,③ 亏了也戴帽,1743,,内控被否 / 重大缺陷,示意见或否定意见的审计报告，或未按照规定披露财务报告内部控制审计报告，上海证券交易所对其股票实施其他风险警示。公司2025年度内部控制被出具否定意见的审计报告，公司股票触及其他,标准股份关于实施其他风险警示暨停牌的公告,False,False,合规/治理类
600337,2026-04-30,③ 亏了也戴帽,1760,,未归类,证券代码：600337证券简称：美克家居公告编号：临2026-039美克国际家居用品股份有限公司关于实施其他风险警示的公告本公司董事会及全体董事保证本公告内容不,美克国际家居用品股份有限公司关于实施其他风险警示的公告,False,False,未归类
600340,2026-04-30,③ 亏了也戴帽,2887,,财务类：净利润为负 / 连亏,2025年末归属于上市公司股东的净资产为负值，近三年连续亏损且中瑞诚对公司2025年度财务报告出具了包含与持续经营相关的重大不确定性段落的审计报告。根据《上海证券交易所股票上市,华夏幸福关于公司股票被实施退市风险警示及叠加其他风险警示暨停牌的公告,False,False,财务类
600370,2026-04-29,③ 亏了也戴帽,2405,,内控被否 / 重大缺陷,北京德皓国际对公司2025年内部控制出具了否定意见的内部控制审计报告，根据《上海证券交易所股票上市规则》第9.8.1条第（三）项规定，公司股票将被实施其他风险警示。本公司的相关,江苏三房巷聚材股份有限公司关于实施退市风险警示及叠加其他风险警示暨停牌的公告,False,False,合规/治理类
600439,2026-07-31,③ 亏了也戴帽,1855,,信息披露违法 / 立案 / 处罚,月30日收到中国证券监督管理委员会河南监管局下发的《行政处罚事先告知书》（〔2026〕2号）（以下简称《事先告知书》），依据《事先告知书》载明的内容，根据《上海证券交易所股票上,关于实施其他风险警示暨停牌的公告,False,False,合规/治理类
600476,2026-04-28,③ 亏了也戴帽,1958,触及《,财务类：收入或净资产指标,455.79万元。因公司最近一个会计年度经审计的期末净资产为负值，或追溯重述后最近一个会计年度期末净资产为负值，触及《上海证券交易所股票上市规则》（2026年4月修订）第9.3,湖南湘邮科技股份有限公司关于实施退市风险警示暨停牌的公告,False,False,财务类
600491,2026-04-30,③ 亏了也戴帽,1950,触及《,未归类,触及《上海证券交易所股票上市规则》（以下简称“《股票上市规则》”）第9.8.1条第（六）项“最近连续3个会计年度扣除非经常性损益前后净利润孰低者均为负值，且最近,龙元建设关于实施其他风险警示暨股票停牌的公告,False,False,未归类
