code,date,grp,chars,锚点,类别,证据,title,非公司件,未实施件,粗类
301139,2026-05-09,① 没亏但戴帽,1594,实施退市风险警示的原因,规范运作类其他,按照《创业板股票上市规则》等法律法规的规定，及时履行信息披露义务。敬请广大投资者理性投资，注意投资风险。2、公司指定的信息披露媒体为巨潮资讯网（www.cninfo.com.c,关于公司股票交易将被实施退市风险警示暨停复牌的公告,False,False,合规/治理类
600079,2025-12-13,① 没亏但戴帽,2235,,信息披露违法 / 立案 / 处罚,月12日收到中国证券监督管理委员会湖北监管局下发的《行政处罚事先告知书》（鄂处罚字〔2025〕8号），依据《行政处罚事先告知书》载明的内容，根据《上海证券交易所股票上市规则（2,人福医药关于实施其他风险警示暨停牌的公告,False,False,合规/治理类
600080,2026-04-29,① 没亏但戴帽,2190,,内控被否 / 重大缺陷,财务报告内部控制的有效性进行了审计，出具了否定意见的内部控制审计报告，根据《上海证券交易所股票上市规则》9.8.1条第（三）项“最近一个会计年度财务报告内部控制被出具无法表示意,金花企业（集团）股份有限公司关于实施其他风险警示暨停牌的公告,False,False,合规/治理类
600082,2026-04-11,① 没亏但戴帽,1799,,信息披露违法 / 立案 / 处罚,理委员会天津监管局（以下简称“天津证监局”）下发的《行政处罚事先告知书》（津证监处罚告知〔2026〕8号）（以下简称“《事先告知书》”）。依据《事先告知书》载明的内容，根据《上,天津海泰科技发展股份有限公司关于实施其他风险警示暨停牌的公告,False,False,合规/治理类
600130,2025-04-29,① 没亏但戴帽,2085,触及《,财务类：净利润为负 / 连亏,"适用情形公司2024年度经审计的扣除非经常性损益后的净利润为负值，且扣除与主营业务无关的业务收入和不具备商业实质的收入后的营业收入低于3亿元,触及《上海证券交易所股票上市规则》",波导股份关于实施退市风险警示暨停牌的公告,False,False,财务类
600169,2025-11-01,① 没亏但戴帽,2026,,信息披露违法 / 立案 / 处罚,理委员会山西监管局（以下简称“山西证监局”）下发的《行政处罚事先告知书》（晋证监处罚字〔2025〕3号）（以下简称“《事先告知书》”）。依据《事先告知书》载明的内容，根据《上海,太原重工关于实施其他风险警示暨停牌的公告,False,False,合规/治理类
600180,2026-04-29,① 没亏但戴帽,2263,触及《,审计意见：无法表示 / 否定,警示的适用情形中审众环对公司2025年度财务会计报告出具了无法表示意见的审计报告，根据《上海证券交易所股票上市规则》（2026年4月修订）第9.3.2条第（三）项规定，公司股票,瑞茂通关于公司股票被实施退市风险警示并叠加其他风险警示暨停牌的公告,False,False,财务类
600187,2026-04-30,① 没亏但戴帽,2127,,内控被否 / 重大缺陷,"因旭泰所对公司2025年内部控制出具了无法表示意见的内部控制审计报告，根据《上海证券交易所股票上市规则》第9.8.1条第（三）项规定，公司股票将被实施其他风险警示,本公司的相关",关于实施退市风险警示及叠加其他风险警示暨停牌的公告,False,False,合规/治理类
600287,2024-07-06,① 没亏但戴帽,1379,,信息披露违法 / 立案 / 处罚,"况：适用因公司近日收到中国证券监督管理委员会出具的《行政处罚决定书》（〔2024〕41号），公司股票将被实施其他风险警示,本公司的相关证券停复牌情况如下：证券代码证券简称停复牌",江苏舜天关于股票被实施其他风险警示暨股票停牌的公告,False,False,合规/治理类
600360,2024-04-30,① 没亏但戴帽,1940,,审计意见：无法表示 / 否定,他风险警示的适用情形众华会计师事务所（特殊普通合伙）出具了否定意见的《2023年度内部控制2/3审计报告》，根据《上海证券交易所股票上市规则》第9.8.1条第一款第（三）项规定,吉林华微电子股份有限公司关于股票被实施其他风险警示暨股票停牌的公告,False,False,财务类
600678,2026-04-29,① 没亏但戴帽,2218,,内控被否 / 重大缺陷,财务报告内部控制的有效性进行审计，并出具了否定意见的内部控制审计报告。根据《上海证券交易所股票上市规则》第9.8.1条等相关规定，公司已触及其他风险警示情形，公司股票将于4月2,四川金顶（集团）股份有限公司关于实施其他风险警示暨停牌公告,False,False,合规/治理类
600711,2024-07-31,① 没亏但戴帽,2660,,信息披露违法 / 立案 / 处罚,"月30日收到中国证券监督管理委员会厦门监管局下发的《行政处罚事先告知书》(简称“《事先告知书》”)。依据《事先告知书》载明的内容,根据《上海证券交易所股票上市规则(2024年4",盛屯矿业集团股份有限公司关于实施其他风险警示暨停牌的公告,False,False,合规/治理类
600759,2026-04-28,① 没亏但戴帽,1893,,内控被否 / 重大缺陷,）对公司2025年度财务报告内部控制出具了否定意见的内部控制审计报告。根据《上海证券交易所股票上市规则》第9.8.1条等相关规定，公司股票将被实施其他风险警示。第三节实施其他风,洲际油气股份有限公司关于实施其他风险警示暨停牌的公告,False,False,合规/治理类
600777,2024-04-27,① 没亏但戴帽,1662,触及《,内控被否 / 重大缺陷,"出具无法表示意见或否定意见审计报告，或未按照规定披露内部控制审计报告”的情形。公司股票自2024年4月29日开市起停牌1天，将于2024年4月30日开市起复牌,本公司的相关证券",新潮能源关于股票被实施其他风险警示暨股票停牌的公告,False,False,合规/治理类
600965,2026-04-30,① 没亏但戴帽,1990,触及《,审计意见：无法表示 / 否定,通合伙）（以下简称“泓毅所”）于2026年4月24日出具了无法表示意见的审计报告（泓审字（2026）010113号）和否定意见的内控审计报告（泓专审字（2026）010058号,福成股份：关于股票被实施退市风险警示及叠加其他风险警示暨停牌的公告,False,False,财务类
601010,2026-04-29,① 没亏但戴帽,1921,触及《,内控被否 / 重大缺陷,"出具无法表示意见或否定意见审计报告，或未按照规定披露内部控制审计报告”的情形。公司股票自2026年4月29日开市起停牌1天，将于2026年4月30日开市起复牌,本公司的相关证券",文峰股份关于实施其他风险警示暨停牌的公告,False,False,合规/治理类
603008,2026-04-25,① 没亏但戴帽,2609,,资金占用（非经营性）,见的内部控制审计报告。同时，公司被控股股东及其关联人非经营性占用资金，余额达到最近一期经审计净资产绝对值5%以上；公司违反规定决策程序对外提供担保，余额达到最近一期经审计净资产,喜临门健康睡眠科技股份公司关于实施其他风险警示暨停牌的公告,False,False,合规/治理类
603189,2026-04-30,① 没亏但戴帽,2003,,财务类：收入或净资产指标,、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元，根据《上海证券交易所股票上市规则》（简称“《上市规则》”）的有关规定，公司股票在2025年年度报告披露后,关于实施退市风险警示暨停牌的公告,False,False,财务类
603268,2025-04-28,① 没亏但戴帽,2337,触及《,财务类：收入或净资产指标,扣除与主营业务无关的业务收入和不具备商业实质的收入后营业收入低于3亿元，触及《上海证券交易所股票上市规则》第9.3.2条第一款第（一）项规定的情形，公司股票将被实施退市风险警示,松发股份：关于实施退市风险警示暨停牌的公告,False,False,财务类
603272,2026-04-28,① 没亏但戴帽,1797,触及《,财务类：收入或净资产指标,、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元，或追溯重述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿,关于公司股票实施退市风险警示暨停牌的公告,False,False,财务类
603517,2025-09-20,① 没亏但戴帽,1994,,信息披露违法 / 立案 / 处罚,月19日收到中国证券监督管理委员会湖南监管局下发的《行政处罚事先告知书》（〔2025〕7号）（以下简称“《事先告知书》”），依据《事先告知书》载明的内容，根据《上海证券交易所股,关于实施其他风险警示暨停牌的公告,False,False,合规/治理类
603580,2025-04-29,① 没亏但戴帽,1568,,财务类：收入或净资产指标,"除与主营业务无关的业务收入和不具备商业实质的收入后的营业收入低于3亿元,公司股票将被实施退市风险警示,本公司的相关证券停复牌情况如下：证券代码证券简称停复牌类型停牌起始日停牌期",艾艾精工关于公司股票被实施退市风险警示暨停牌的公告,False,False,财务类
603595,2025-10-30,① 没亏但戴帽,2025,,信息披露违法 / 立案 / 处罚,月29日收到中国证券监督管理委员会浙江监管局下发的《行政处罚事先告知书》（浙处罚字[2025]19号），依据《行政处罚事先告知书》载明的内容，根据《上海证券交易所股票上市规则（,东尼电子关于实施其他风险警示暨停牌的公告,False,False,合规/治理类
688022,2026-04-30,① 没亏但戴帽,4112,实施退市风险警示的原因,资金占用（非经营性）,（二）针对内部控制审计报告中公司相关事项与实际控制人资金占用事项，为保持并促进公司可持续发展，公司结合实际状况拟采取以下改善措施：1、关于实际控制人资金占用事项，资金占用情况发,关于被实施其他风险警示暨停牌的公告,False,False,合规/治理类
688076,2025-07-19,① 没亏但戴帽,2068,,信息披露违法 / 立案 / 处罚,证券监督管理委员会（以下简称“中国证监会”）下发的《行政处罚事先告知书》（处罚字〔2025〕59号）（以下简称“《事先告知书》”）。依据《事先告知书》载明的内容，根据《上海证券,诺泰生物：关于实施其他风险警示暨停牌的公告,False,False,合规/治理类
688089,2026-07-25,① 没亏但戴帽,1971,,未归类,证券代码：688089证券简称：嘉必优公告编号：2026-019嘉必优生物技术（武汉）股份有限公司关于被实施其他风险警示暨停牌的公告本公司董事会及全体董事保证本,嘉必优生物技术(武汉)股份有限公司关于被实施其他风险警示暨停牌的公告,False,False,未归类
688646,2025-04-30,① 没亏但戴帽,2741,触及《,审计意见：无法表示 / 否定,4年度内部控制的审计机构，对公司2024年度内部控制出具了否定意见内部控,逸飞激光关于股票被实施其他风险警示暨股票停牌的公告,False,False,财务类
000056,2026-04-24,③ 亏了也戴帽,2412,的主要原因,审计意见：无法表示 / 否定,对公司2025年度出具了带持续经营重大不确定性段落的无法表示意见的审计报告（尤振审字[2026]第0489号）。根据《深圳证券交易所股票上市规则》第9.8.1条第(七)款规定，,关于公司股票交易被实施退市风险警示及其他风险警示暨停牌的公告,False,False,财务类
000070,2024-05-22,③ 亏了也戴帽,1337,,信息披露违法 / 立案 / 处罚,8号中证鹏元关于关注深圳市特发信息股份有限公司收到《行政处罚及市场禁入事先告知书》及被实施其他风险警示等事项的公告中证鹏元资信评估股份有限公司（以下简称“中证鹏元”）对深圳市特,中证鹏元关于关注深圳市特发信息股份有限公司收到《行政处罚及市场禁入事先告知书》及被实施其他风险警示等事项的公告,False,False,合规/治理类
000078,2026-04-30,③ 亏了也戴帽,2500,实施其他风险警示的原因,内控被否 / 重大缺陷,计师事务所对公司2025年度内部控制出具了否定意见的内部控制审计报告。根据《深圳证券交易所股票上市规则（2026年修订）》第9.8.1条规定，上市公司出现最近一个会计年度财务报,关于公司股票被实施其他风险警示暨停复牌的公告,False,False,合规/治理类
000430,2025-11-04,③ 亏了也戴帽,3448,,重整 / 破产,048张家界旅游集团股份有限公司关于法院裁定受理公司重整并指定管理人暨公司股票交易将被叠加实施退市风险警示的公告本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚,张家界旅游集团股份有限公司关于法院裁定受理公司重整并指定管理人暨公司股票交易将被叠加实施退市风险警示的公告,False,False,重整/破产
000488,2025-04-01,③ 亏了也戴帽,3426,实施其他风险警示的原因,内控被否 / 重大缺陷,24年度内部控制的有效性进行了审计，出具了否定意见的内部控制审计报告，根据《深圳证券交易所股票上市规则》第9.8.1条（四）款规定，公司股票触发被实施其他风险警示的情形。三、董,关于公司股票被叠加实施其他风险警示的公告,False,False,合规/治理类
000504,2025-04-22,③ 亏了也戴帽,2209,的主要原因,财务类：收入或净资产指标,扣除非经常性损益后的净利润三者孰低为负值，且扣除后的营业收入低于3亿元”的情形，公司股票交易将被实施退市风险警示（股票简称前冠以“*ST”字样）。五、其他说明及相关风险提示1.,南华生物关于2024年年度业绩预告修正暨可能被实施退市风险警示的公告,False,True,财务类
000595,2025-04-26,③ 亏了也戴帽,2981,的主要原因,财务类：收入或净资产指标,扣除非经常性损益后的净利润三者孰低为负值，且扣除后的营业收入低于3亿元”的情形，公司股票交易于2025年4月29日起被深圳证券交易所实施“退市风险警示”。三、董事会关于争取撤销,关于公司股票交易被实施退市风险警示暨股票停复牌的公告,False,False,财务类
000608,2025-04-19,③ 亏了也戴帽,1546,的主要原因,财务类：净利润为负 / 连亏,度公司经审计的利润总额、净利润、扣除非经常性损益后的净利润为负值，且扣除后的营业收入低于3亿元，根据《深圳证券交易所股票上市规则》9.3.1条的相关规定，公司股票交易将被实施退,关于公司股票交易被实施退市风险警示暨股票停复牌的公告,False,False,财务类
000609,2024-04-26,③ 亏了也戴帽,3483,的主要原因,财务类：净利润为负 / 连亏,披露《2023年年度报告》，最近一个会计年度经审计的净利润为负值且营业收入低于1亿元，根据《深圳证券交易所股票上市规则》第9.3.1条第（一）款规定的情形“最近一个会计年度经审,中迪投资关于公司股票交易被实施退市风险警示、其他风险警示暨股票停牌的公告,False,False,财务类
000610,2026-04-24,③ 亏了也戴帽,2537,的主要原因,财务类：收入或净资产指标,9.3.1第一款“（二）最近一个会计年度经审计的期末净资产为负值”规定的对股票交易实施退市风险警示的情形，公司股票交易将在披露2025年年度报告后被实施退市风险警示（在股票简称,关于公司股票交易可能被实施退市风险警示暨停牌的公告,False,True,财务类
